region,statut,Total Prestations,Prestations Suivies
ADAMAOUA,EN COURS,6,3
ADAMAOUA,TERMINÉ,9,4
CENTRE,ARRETÉ,1,1
CENTRE,EN COURS,1,1
CENTRE,TERMINÉ,25,15
EST,EN COURS,2,1
EST,TERMINÉ,16,3
EXTRÊME-NORD,ANNULÉ,1,0
EXTRÊME-NORD,ARRETÉ,1,1
EXTRÊME-NORD,EN COURS,2,0
EXTRÊME-NORD,TERMINÉ,17,7
LITTORAL,NON DEMARRÉ,1,0
LITTORAL,TERMINÉ,12,9
NORD,EN COURS,1,0
NORD,TERMINÉ,3,3
NORD-OUEST,TERMINÉ,1,1
OUEST,ARRETÉ,1,1
OUEST,TERMINÉ,4,3
SUD,EN COURS,1,1
SUD,TERMINÉ,11,3
SUD-OUEST,NON DEMARRÉ,1,0
SUD-OUEST,TERMINÉ,17,15
